Date,Open,High,Low,Close,Adj Close,Volume
2022-07-22,77.379997,77.379997,76.459999,76.470001,74.966423,9700
2022-07-25,76.910004,77.160004,76.739998,76.879997,75.368355,3800
2022-07-26,76.449997,76.449997,75.349998,75.389999,73.907646,13800
2022-07-27,76.489998,77.800003,76.489998,77.800003,76.270271,2300
2022-07-28,77.900002,78.480003,77.809998,78.470001,76.927101,29400
2022-07-29,78.739998,79.290001,78.349998,79.209999,77.652542,7100
2022-08-01,78.970001,79.720001,78.970001,79.389999,77.829002,4400
2022-08-02,78.989998,79.040001,78.000000,78.000000,76.466331,4500
2022-08-03,78.000000,78.589996,77.919998,78.389999,76.848663,6500
2022-08-04,78.169998,78.169998,77.360001,77.650002,76.123222,7200
2022-08-05,76.620003,77.379997,76.349998,77.220001,75.701675,7100
2022-08-08,78.160004,78.889999,78.160004,78.339996,76.799644,7900
2022-08-09,78.339996,78.339996,77.669998,77.879997,76.348694,10000
2022-08-10,79.760002,80.699997,79.760002,80.300003,78.721115,13900
2022-08-11,80.529999,80.949997,80.269997,80.309998,78.730911,7400
2022-08-12,81.550003,81.910004,81.379997,81.910004,80.299454,7800
2022-08-15,80.980003,81.120003,80.580002,81.040001,79.446564,23700
2022-08-16,80.739998,81.800003,80.739998,81.489998,79.887711,7500
2022-08-17,80.660004,81.000000,80.169998,80.540001,78.956390,11200
2022-08-18,80.809998,81.089996,80.739998,80.830002,79.240692,8300
2022-08-19,80.599998,80.970001,79.989998,80.230003,78.652489,13200
2022-08-22,79.209999,79.209999,78.519997,78.680000,77.132965,15500
2022-08-23,78.790001,79.589996,78.790001,79.190002,77.632942,3700
2022-08-24,78.800003,79.449997,78.800003,79.129997,77.574112,5900
2022-08-25,79.190002,80.320000,79.190002,80.279999,78.701500,5400
2022-08-26,80.440002,80.440002,78.080002,78.099998,76.564369,8000
2022-08-29,77.790001,78.269997,77.580002,77.839996,76.309479,15400
2022-08-30,78.120003,78.120003,76.820000,76.879997,75.368355,5900
2022-08-31,77.449997,77.449997,76.589996,76.720001,75.211502,8000
2022-09-01,75.830002,75.830002,74.940002,75.349998,73.868439,11300
2022-09-02,75.980003,76.220001,74.269997,74.339996,72.878296,3600
2022-09-06,74.559998,74.559998,73.550003,73.580002,72.133247,10600
2022-09-07,73.290001,74.370003,73.290001,74.250000,72.790062,32500
2022-09-08,73.290001,74.110001,73.230003,73.849998,72.397934,12500
2022-09-09,75.010002,75.769997,74.949997,75.639999,74.152740,15100
2022-09-12,76.580002,77.720001,76.580002,77.040001,75.525215,11100
2022-09-13,76.080002,76.080002,74.400002,74.419998,72.956726,7100
2022-09-14,74.269997,74.269997,73.250000,73.750000,72.299896,27000
2022-09-15,73.389999,74.089996,72.669998,72.669998,71.241135,5200
2022-09-16,72.000000,72.000000,70.970001,71.330002,69.927490,7100
2022-09-19,70.480003,72.690002,70.480003,72.570000,71.143097,14000
2022-09-20,71.260002,71.260002,69.230003,69.589996,68.221695,17500
2022-09-21,69.699997,69.699997,68.519997,68.519997,67.172737,10900
2022-09-22,68.559998,68.559998,67.760002,68.160004,66.819817,9200
2022-09-23,66.550003,66.550003,65.290001,65.779999,64.486603,13400
2022-09-26,65.260002,65.370003,63.779999,64.330002,63.065121,51800
2022-09-27,65.150002,65.360001,64.080002,64.379997,63.114136,28400
2022-09-28,64.739998,66.209999,64.629997,66.120003,64.819923,19000
2022-09-29,64.900002,64.900002,64.230003,64.690002,63.418045,9100
2022-09-30,64.660004,66.379997,64.660004,65.430000,64.143494,17800
2022-10-03,66.660004,67.790001,66.419998,67.470001,66.143379,17200
