Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,53.930000,55.720001,53.580002,54.080002,53.792255,3103100
2022-11-10,57.090000,60.799999,57.090000,60.029999,59.710594,6007400
2022-11-11,60.220001,61.110001,59.720001,60.580002,60.257668,2456200
2022-11-14,60.150002,60.250000,58.430000,58.430000,58.119106,1879100
2022-11-15,59.830002,60.500000,59.040001,60.020000,59.700645,2058000
2022-11-16,59.880001,59.950001,59.049999,59.349998,59.034210,3446300
2022-11-17,58.070000,58.369999,57.090000,58.369999,58.059425,2186100
2022-11-18,59.139999,59.439999,57.779999,58.509998,58.198681,1370100
2022-11-21,58.490002,58.639999,57.700001,58.020000,57.711292,1484200
2022-11-22,58.650002,59.400002,58.490002,59.400002,59.083950,1479100
2022-11-23,59.480000,60.290001,58.939999,60.049999,59.730484,2152700
2022-11-25,59.759998,60.160000,59.639999,60.029999,59.710594,648300
2022-11-28,59.439999,59.980000,58.759998,59.070000,58.755699,1413200
2022-11-29,58.860001,59.660000,58.709999,59.540001,59.223202,910500
2022-11-30,59.330002,60.880001,58.340000,60.880001,60.556072,2617800
2022-12-01,61.320000,62.529999,61.290001,61.700001,61.371712,2297300
2022-12-02,60.439999,61.689999,60.279999,61.290001,60.963890,1911300
2022-12-05,60.450001,60.529999,59.700001,60.189999,59.869740,2260200
2022-12-06,60.340000,60.439999,58.680000,59.369999,59.054104,1593400
2022-12-07,59.639999,61.090000,59.639999,60.880001,60.556072,2162500
2022-12-08,61.090000,61.540001,60.400002,61.099998,60.774902,1508400
2022-12-09,60.500000,61.230000,60.400002,60.639999,60.317348,928100
2022-12-12,60.799999,61.520000,60.279999,61.419998,61.093201,1054800
2022-12-13,64.470001,65.000000,62.119999,62.360001,62.152664,3314900
2022-12-14,62.580002,63.090000,61.549999,62.180000,61.973263,2446200
2022-12-15,61.160000,63.110001,60.419998,62.840000,62.631065,5349000
2022-12-16,61.889999,62.480000,61.380001,61.930000,61.724094,2891100
2022-12-19,61.669998,61.930000,60.459999,60.730000,60.528084,3162100
2022-12-20,60.400002,60.840000,59.759998,60.270000,60.069611,1407600
2022-12-21,60.830002,61.529999,60.830002,61.400002,61.195858,1291600
2022-12-22,60.810001,61.139999,59.869999,61.119999,60.916786,1848000
2022-12-23,60.869999,61.150002,60.349998,61.029999,60.827087,793300
2022-12-27,60.810001,61.330002,60.740002,60.939999,60.737381,1157900
2022-12-28,60.959999,61.230000,59.630001,59.650002,59.451675,2313700
2022-12-29,60.240002,61.290001,59.779999,61.009998,60.807148,1143200
2022-12-30,60.430000,60.779999,60.160000,60.610001,60.408485,1215600
2023-01-03,61.380001,61.830002,60.689999,61.439999,61.235722,1828400
2023-01-04,62.220001,63.160000,62.169998,62.799999,62.591202,2528600
2023-01-05,61.959999,62.830002,61.470001,62.529999,62.322098,2693900
2023-01-06,63.080002,63.919998,62.709999,63.740002,63.528076,1348300
2023-01-09,64.080002,64.620003,63.529999,63.630001,63.418442,1917700
2023-01-10,63.230000,64.239998,62.980000,64.239998,64.026405,1253600
2023-01-11,64.860001,65.959999,64.720001,65.959999,65.740692,2239400
2023-01-12,66.019997,66.510002,64.779999,66.199997,65.979897,2322800
2023-01-13,65.230003,66.680000,64.949997,66.540001,66.318771,3978300
2023-01-17,66.089996,66.830002,66.029999,66.309998,66.089531,1799600
2023-01-18,66.949997,67.830002,65.900002,65.959999,65.740692,2234300
2023-01-19,65.430000,65.570000,64.059998,64.269997,64.056305,2405900
2023-01-20,64.470001,65.750000,63.639999,65.690002,65.471588,5046300
2023-01-23,65.660004,66.610001,65.459999,66.430000,66.209129,2288200
