Rates,Bank rate
Feb-63,4
Mar-63,4
Apr-63,4
May-63,3.5
Jun-63,3.5
Jul-63,3.5
Aug-63,4
Sep-63,4
Oct-63,4
Nov-63,4
Dec-63,4
Jan-64,4
Feb-64,4
Mar-64,4
Apr-64,4
May-64,4
Jun-64,4
Jul-64,4
Aug-64,4
Sep-64,4
Oct-64,4
Nov-64,4.25
Dec-64,4.25
Jan-65,4.25
Feb-65,4.25
Mar-65,4.25
Apr-65,4.25
May-65,4.25
Jun-65,4.25
Jul-65,4.25
Aug-65,4.25
Sep-65,4.25
Oct-65,4.25
Nov-65,4.25
Dec-65,4.75
Jan-66,4.75
Feb-66,4.75
Mar-66,5.25
Apr-66,5.25
May-66,5.25
Jun-66,5.25
Jul-66,5.25
Aug-66,5.25
Sep-66,5.25
Oct-66,5.25
Nov-66,5.25
Dec-66,5.25
Jan-67,5.25
Feb-67,5
Mar-67,5
Apr-67,4.5
May-67,4.5
Jun-67,4.5
Jul-67,4.5
Aug-67,4.5
Sep-67,5
Oct-67,5
Nov-67,6
Dec-67,6
Jan-68,7
Feb-68,7
Mar-68,7.5
Apr-68,7.5
May-68,7.5
Jun-68,7.5
Jul-68,6.5
Aug-68,6.5
Sep-68,6
Oct-68,6
Nov-68,6
Dec-68,6.5
Jan-69,6.5
Feb-69,6.5
Mar-69,7
Apr-69,7
May-69,7
Jun-69,7.5
Jul-69,8
Aug-69,8
Sep-69,8
Oct-69,8
Nov-69,8
Dec-69,8
Jan-70,8
Feb-70,8
Mar-70,8
Apr-70,8
May-70,7.5
Jun-70,7
Jul-70,7
Aug-70,7
Sep-70,6.5
Oct-70,6.5
Nov-70,6
Dec-70,6
Jan-71,6
Feb-71,5.25
Mar-71,5.25
Apr-71,5.25
May-71,5.25
Jun-71,5.25
Jul-71,5.25
Aug-71,5.25
Sep-71,5.25
Oct-71,4.75
Nov-71,4.75
Dec-71,4.75
Jan-72,4.75
Feb-72,4.75
Mar-72,4.75
Apr-72,4.75
May-72,4.75
Jun-72,4.75
Jul-72,4.75
Aug-72,4.75
Sep-72,4.75
Oct-72,4.75
Nov-72,4.75
Dec-72,4.75
Jan-73,4.75
Feb-73,4.75
Mar-73,4.75
Apr-73,5.25
May-73,5.75
Jun-73,6.25
Jul-73,6.25
Aug-73,6.75
Sep-73,7.25
Oct-73,7.25
Nov-73,7.25
Dec-73,7.25
Jan-74,7.25
Feb-74,7.25
Mar-74,7.25
Apr-74,8.25
May-74,8.75
Jun-74,8.75
Jul-74,9.25
Aug-74,9.25
Sep-74,9.25
Oct-74,9.25
Nov-74,8.75
Dec-74,8.75
Jan-75,8.25
Feb-75,8.25
Mar-75,8.25
Apr-75,8.25
May-75,8.25
Jun-75,8.25
Jul-75,8.25
Aug-75,8.25
Sep-75,9
Oct-75,9
Nov-75,9
Dec-75,9
Jan-76,9
Feb-76,9
Mar-76,9.5
Apr-76,9.5
May-76,9.5
Jun-76,9.5
Jul-76,9.5
Aug-76,9.5
Sep-76,9.5
Oct-76,9.5
Nov-76,9
Dec-76,8.5
Jan-77,8.5
Feb-77,8
Mar-77,8
Apr-77,8
May-77,7.5
Jun-77,7.5
Jul-77,7.5
Aug-77,7.5
Sep-77,7.5
Oct-77,7.5
Nov-77,7.5
Dec-77,7.5
Jan-78,7.5
Feb-78,7.5
Mar-78,8
Apr-78,8.5
May-78,8.5
Jun-78,8.5
Jul-78,9
Aug-78,9
Sep-78,9.5
Oct-78,10.25
Nov-78,10.75
Dec-78,10.75
Jan-79,11.25
Feb-79,11.25
Mar-79,11.25
Apr-79,11.25
May-79,11.25
Jun-79,11.25
Jul-79,11.75
Aug-79,11.75
Sep-79,12.25
Oct-79,14
Nov-79,14
Dec-79,14
Jan-80,14
Feb-80,14
Mar-80,14.79
Apr-80,15.67
May-80,11.83
Jun-80,10.67
Jul-80,10.18
Aug-80,10.45
Sep-80,11.02
Oct-80,11.76
Nov-80,13.06
Dec-80,17.26
Jan-81,17
Feb-81,17.14
Mar-81,16.59
Apr-81,17.4
May-81,19.06
Jun-81,19.07
Jul-81,19.89
Aug-81,21.03
Sep-81,19.63
Oct-81,18.3
Nov-81,15.4
Dec-81,14.66
Jan-82,14.72
Feb-82,14.74
Mar-82,15.11
Apr-82,15.32
May-82,15.32
Jun-82,16.58
Jul-82,15.6
Aug-82,14.26
Sep-82,13.18
Oct-82,11.53
Nov-82,10.87
Dec-82,10.26
Jan-83,9.81
Feb-83,9.43
Mar-83,9.42
Apr-83,9.46
May-83,9.38
Jun-83,9.42
Jul-83,9.51
Aug-83,9.57
Sep-83,9.52
Oct-83,9.45
Nov-83,9.63
Dec-83,10.04
Jan-84,9.98
Feb-84,10.04
Mar-84,10.76
Apr-84,10.82
May-84,11.6
Jun-84,11.98
Jul-84,13.24
Aug-84,12.39
Sep-84,12.28
Oct-84,11.71
Nov-84,10.78
Dec-84,10.16
Jan-85,9.66
Feb-85,10.95
Mar-85,11.18
Apr-85,9.75
May-85,9.59
Jun-85,9.57
Jul-85,9.31
Aug-85,9.2
Sep-85,9.31
Oct-85,8.77
Nov-85,8.98
Dec-85,9.49
Jan-86,10.33
Feb-86,11.84
Mar-86,10.44
Apr-86,9.27
May-86,8.43
Jun-86,8.84
Jul-86,8.63
Aug-86,8.58
Sep-86,8.63
Oct-86,8.62
Nov-86,8.47
Dec-86,8.49
Jan-87,7.74
Feb-87,7.59
Mar-87,7.14
Apr-87,8.26
May-87,8.54
Jun-87,8.59
Jul-87,8.76
Aug-87,9.24
Sep-87,9.57
Oct-87,8.26
Nov-87,8.48
Dec-87,8.66
Jan-88,8.63
Feb-88,8.58
Mar-88,8.78
Apr-88,9.06
May-88,9.12
Jun-88,9.44
Jul-88,9.53
Aug-88,10.03
Sep-88,10.54
Oct-88,10.51
Nov-88,10.84
Dec-88,11.17
Jan-89,11.54
Feb-89,11.7
Mar-89,12.4
Apr-89,12.61
May-89,12.4
Jun-89,12.31
Jul-89,12.32
Aug-89,12.4
Sep-89,12.47
Oct-89,12.43
Nov-89,12.47
Dec-89,12.47
Jan-90,12.29
Feb-90,13.25
Mar-90,13.38
Apr-90,13.77
May-90,14.05
Jun-90,13.9
Jul-90,13.59
Aug-90,13.01
Sep-90,12.61
Oct-90,12.66
Nov-90,12.25
Dec-90,11.78
Jan-91,10.88
Feb-91,10.02
Mar-91,9.92
Apr-91,9.66
May-91,9.07
Jun-91,8.91
Jul-91,8.94
Aug-91,8.8
Sep-91,8.68
Oct-91,8.17
Nov-91,7.69
Dec-91,7.67
Jan-92,7.08
Feb-92,7.56
Mar-92,7.65
Apr-92,6.85
May-92,6.5
Jun-92,5.91
Jul-92,5.5
Aug-92,5.11
Sep-92,5.69
Oct-92,7.37
Nov-92,8.82
Dec-92,7.36
Jan-93,6.81
Feb-93,6.09
Mar-93,5.36
Apr-93,5.6
May-93,5.1
Jun-93,4.79
Jul-93,4.41
Aug-93,4.9
Sep-93,4.9
Oct-93,4.63
Nov-93,4.36
Dec-93,4.11
Jan-94,3.88
Feb-94,4.1
Mar-94,5.64
Apr-94,6.07
May-94,6.31
Jun-94,6.92
Jul-94,6.04
Aug-94,5.6
Sep-94,5.54
Oct-94,5.62
Nov-94,6.04
Dec-94,7.43
Jan-95,8.38
Feb-95,8.38
Mar-95,8.47
Apr-95,8.17
May-95,7.64
Jun-95,6.97
Jul-95,6.87
Aug-95,6.59
Sep-95,6.71
Oct-95,7.65
Nov-95,6.07
Dec-95,5.79
Jan-96,5.37
Feb-96,5.5
Mar-96,5.25
Apr-96,5
May-96,5
Jun-96,5
Jul-96,4.75
Aug-96,4.25
Sep-96,4.25
Oct-96,3.5
Nov-96,3.25
Dec-96,3.25
Jan-97,3.25
Feb-97,3.25
Mar-97,3.25
Apr-97,3.25
May-97,3.25
Jun-97,3.25
Jul-97,3.5
Aug-97,3.5
Sep-97,3.5
Oct-97,3.75
Nov-97,4
Dec-97,4.5
Jan-98,4.5
Feb-98,5
Mar-98,5
Apr-98,5
May-98,5
Jun-98,5
Jul-98,5
Aug-98,5
Sep-98,5.75
Oct-98,5.5
Nov-98,5.25
Dec-98,5.25
